feature,Mutual Info,Random Forest,Lasso (L1),mean_score
euribor3m,1.0,1.0,0.14755718800891185,0.7158523960029707
emp.var.rate,0.7307815941947977,0.22815386525677897,1.0,0.6529784864838589
cons.price.idx,0.9192103970750449,0.23960789287167467,0.520129466644466,0.5596492521970619
nr.employed,0.8184987065229706,0.5391198387648669,0.16185791714723682,0.5064921541450248
was_contacted,0.4154495342110175,0.29157966489319076,0.5685520973294541,0.42519376547788745
cons.conf.idx,0.8880626910914046,0.2912173929576054,0.06525234374376941,0.41484414259759306
poutcome_success,0.4141421470843519,0.33033193832901636,0.3537349290196529,0.3660696714776737
month_mar,0.07426954644640976,0.051423502624093495,0.6529049121466516,0.2595326537390516
age,0.16847890049605077,0.587420181671057,0.0016062817009784057,0.25250178795602873
contact_telephone,0.1517785297241468,0.11724734685829971,0.3511049235474513,0.20671026670996592
poutcome_nonexistent,0.22906655949889265,0.07886347647427185,0.17584888379992747,0.16125963992436398
previous,0.275677570436068,0.14875573376280882,0.03010202529319861,0.15151177649735847
campaign,0.06270856504973785,0.29542520438821035,0.04858819271150997,0.1355739873831527
month_may,0.08035589501385318,0.05462071881053622,0.22520781820422103,0.12006147734287015
month_jun,0.0,0.026810063672023536,0.3037286728143104,0.11017957882877798
default_unknown,0.10797786206110313,0.05367418194496458,0.12183671105111842,0.09449625168572871
month_nov,0.0,0.016666500574553808,0.2620087257036271,0.09289174209272698
education_illiterate,0.013487231281400336,0.0029467177886593524,0.23799287029231464,0.08480893978745811
job_retired,0.052306494618541845,0.05301682125429243,0.13414891942868198,0.07982407843383875
month_aug,0.01836260922174916,0.019285855544363763,0.1711165713291852,0.06958834536509938
education_university.degree,0.04095381243038392,0.08596556834690407,0.057339544386847706,0.061419641721378565
month_dec,0.04935824748760972,0.009029695910626521,0.12419848723996031,0.06086214354606551
job_blue-collar,0.04886636763235308,0.05558128929460612,0.076370479307264,0.06027271207807441
day_of_week_mon,0.0,0.08586780304066764,0.09366921685354879,0.059845673298072145
job_student,0.0882085299028689,0.038153483718424024,0.05183025361001314,0.05939742241043536
marital_single,0.047383659375088226,0.08107560188766408,0.04165962301748852,0.056706294760080274
day_of_week_tue,0.0477287987190398,0.07975468752376438,0.04141032580264133,0.05629793734848185
month_sep,0.09064453149567807,0.023219766664196506,0.049922002178950285,0.05459543344627495
month_oct,0.08135469618252389,0.05624725498768072,0.022370983233414857,0.05332431146787315
marital_married,0.05127657457345537,0.08777543089076612,0.016724842535416614,0.05192561599987936
day_of_week_wed,0.0009563118441106695,0.07165290219490485,0.07970667063492476,0.05077196155798009
housing_yes,0.020209324027092353,0.1266830019677245,0.0009575342572926628,0.049283286750703176
job_services,0.0223340575441992,0.04179851063398315,0.06792835993890073,0.04402030937236103
education_basic.9y,0.02449266972567904,0.052677739513661066,0.05443158891022378,0.043867332716521296
job_housemaid,0.008206646346252396,0.02485953230280121,0.07473741169043671,0.035934530113163436
loan_yes,0.0131240938468836,0.09259323008111892,0.0013599452045518858,0.0356924230441848
day_of_week_thu,0.0,0.08089877035880705,0.023067028274312732,0.034655266211039926
education_professional.course,0.024920751759221937,0.06209154420975892,0.015954913701069946,0.03432240322335026
job_unknown,0.0,0.014741917677265756,0.08312854209383255,0.0326234865903661
marital_unknown,0.0,0.0061937141454472,0.08803466611730448,0.03140946008758389
education_unknown,0.012551047217117637,0.041358267541737236,0.03712892555659196,0.030346080105148943
job_technician,0.0,0.07420585820133503,0.009821364581462006,0.028009074260932344
job_self-employed,0.0,0.03495536779420482,0.04865378922993661,0.027869719008047144
education_high.school,0.0,0.07460211606750235,0.0,0.02486737202250078
education_basic.6y,0.009547749827417323,0.029896681380017415,0.03480384920252624,0.02474942680332033
job_entrepreneur,0.02808639371877485,0.024693515306025912,0.020006509331695527,0.02426213945216543
month_jul,0.0,0.021149505006306652,0.03891490551993525,0.020021470175413964
job_management,0.0,0.04675636116575451,0.01167668334292926,0.01947768150289459
job_unemployed,0.0049505319432485585,0.029368911711837514,0.008145524063627322,0.014154989239571132
loan_unknown,0.0056317960050502255,0.023829949628202923,0.012240714292872353,0.013900819975375166
housing_unknown,0.0,0.02382128872924913,0.012240714292872353,0.012020667674040494
default_yes,0.005752775026242692,3.638268787567399e-07,0.0,0.001917712951040483
