feature,importance
euribor3m,0.16590167936429182
age,0.09745399463170576
nr.employed,0.08944088662969765
poutcome_success,0.05480262331644549
campaign,0.04901153753454325
was_contacted,0.048373556074257786
cons.conf.idx,0.048313454551757624
cons.price.idx,0.03975135181635015
emp.var.rate,0.03785110939955398
previous,0.024678826046317465
housing_yes,0.02101692277335538
contact_telephone,0.019451531744799546
loan_yes,0.01536137236822189
marital_married,0.014562091391702435
education_university.degree,0.014261832156257192
day_of_week_mon,0.014245612727769006
marital_single,0.01345057850863422
day_of_week_thu,0.013421241861032282
day_of_week_tue,0.013231436597366844
poutcome_nonexistent,0.013083583187588019
education_high.school,0.012376616339728457
job_technician,0.01231087649426999
day_of_week_wed,0.011887336805460065
education_professional.course,0.010301091458721174
month_oct,0.00933151406208777
job_blue-collar,0.00922102923520769
month_may,0.009061668978752723
default_unknown,0.008904636923174175
job_retired,0.008795579680643595
education_basic.9y,0.008739325450431084
month_mar,0.008531245444131178
job_management,0.00775695883836203
job_services,0.006934443109104014
education_unknown,0.006861406040771888
job_student,0.0063297270224847105
job_self-employed,0.00579915421985506
education_basic.6y,0.004959909648364042
job_unemployed,0.004872351774095462
month_jun,0.004447834587052297
job_housemaid,0.004124238157245582
job_entrepreneur,0.004096695658677543
loan_unknown,0.003953428662485346
housing_unknown,0.003951991804804107
month_sep,0.0038521982840372007
month_jul,0.003508738398269771
month_aug,0.0031995558227870865
month_nov,0.002765000434444411
job_unknown,0.002445708899708529
month_dec,0.001498041715721818
marital_unknown,0.00102754757823206
education_illiterate,0.0004888654297512189
default_yes,6.035949018361174e-08
