,y
5567,0
4415,0
41002,0
32783,0
21797,0
33007,0
24999,0
38334,0
38144,0
17584,0
852,0
4579,0
32047,0
35096,0
17221,0
4175,0
23148,0
20292,0
14005,0
40313,1
38214,0
25777,0
36324,0
27571,0
26337,0
3025,0
21351,0
30085,0
21674,0
22224,0
5922,0
23698,0
13595,1
14316,0
25738,0
20278,0
33722,0
10472,0
39052,1
16263,0
34132,0
39948,0
32691,0
22054,0
40560,0
18341,0
11836,0
295,0
23968,0
35483,0
8650,0
6318,0
10830,0
16429,0
8362,1
1847,0
33949,0
26180,0
26049,0
37262,1
26048,0
23786,0
14439,0
20094,0
12634,0
24601,0
37674,0
25523,0
4902,1
4004,0
3177,0
34826,0
33447,0
25584,0
27862,1
6626,0
8703,0
4949,0
26494,0
4701,0
8132,0
6315,0
22741,0
3209,0
8474,0
32459,0
16579,0
23893,0
22975,0
5603,0
19926,1
33333,0
21805,0
24938,1
23902,0
9268,0
26963,0
30860,0
8862,0
14261,0
20839,0
7533,0
17236,0
31424,0
37556,0
19884,0
3946,0
5667,0
29900,0
3534,0
28585,0
12646,0
20909,0
12361,0
7255,0
12905,0
1118,0
2967,0
40666,0
30083,1
587,0
22037,0
2858,0
19880,0
14580,0
10138,0
3496,0
31624,0
3955,0
9211,0
24326,0
14278,1
36009,0
8824,0
11752,1
29988,1
3274,0
29993,0
15234,0
2104,1
34530,0
32250,0
24765,0
16462,0
26153,0
25499,0
18337,0
27824,1
14058,0
15190,1
13069,0
35942,0
2490,0
13626,0
39750,0
2389,0
40591,0
40874,1
35171,0
5569,0
33768,0
27892,1
37589,0
29799,0
569,0
26064,0
34794,0
7469,0
9276,1
3229,0
25984,0
38369,0
31794,0
25553,0
33823,0
17201,0
29174,0
15403,1
17216,1
721,0
40181,0
11554,0
8297,0
12985,0
37525,0
25744,0
13983,1
970,0
39943,0
19690,0
28247,0
790,0
36033,1
17694,0
2351,0
7237,0
19339,0
11239,0
33659,0
24031,1
11895,0
21036,0
26985,0
20261,0
36601,1
2482,0
11565,0
14676,0
33665,0
9825,0
4881,0
1231,0
21764,0
4282,0
7658,0
13220,0
35689,0
39036,0
32711,0
17761,0
31187,0
21205,0
43,0
29155,0
8749,0
39056,0
23692,0
3271,0
26853,0
38168,0
18762,0
16727,0
17103,0
17023,0
23690,0
38782,1
29101,0
2328,0
34184,0
12301,0
34054,0
29447,0
38504,0
8543,0
24481,0
30504,0
1291,0
39984,0
2637,0
22228,0
70,0
14876,0
33443,0
30245,0
29976,0
34946,0
9640,0
25401,0
36628,0
23530,0
35356,0
30268,1
32237,0
26276,0
12891,0
22157,1
22452,1
4307,0
34352,0
6267,0
36025,0
40771,1
25305,0
32727,0
24357,0
3448,0
22478,0
20173,1
24655,0
18912,1
29784,0
20355,0
27556,0
25108,0
1501,1
11640,0
40215,0
10423,0
38226,0
36925,0
36829,0
39824,0
12885,0
16545,0
21144,0
29510,1
29786,0
35573,0
31767,0
2819,0
32626,0
35355,0
8509,0
38082,1
17203,0
10332,1
36720,1
38701,0
34749,0
16490,0
9040,0
30120,1
8033,0
5934,0
35923,0
20238,1
16055,0
32372,0
32833,0
15179,0
17068,0
1430,0
13052,0
14645,0
24225,0
9945,0
24193,0
1283,0
8434,0
34878,0
3788,0
17652,0
15532,0
4260,0
29556,0
21030,0
11489,0
33114,0
39616,1
23446,0
15743,0
13922,0
14759,0
1972,0
25374,0
28281,0
6580,0
15567,0
21315,0
25913,0
1879,0
24912,0
24632,0
20797,0
36103,0
15392,0
13163,0
20598,0
34865,0
33809,0
11658,0
30887,1
10990,0
23994,0
25255,0
32127,0
39864,1
9986,0
21589,0
28358,0
29753,0
17258,0
30523,0
5523,0
6405,0
7624,0
5588,0
38298,0
16252,0
39872,0
16795,0
25177,0
20126,0
4825,0
28480,0
6060,0
13695,0
8530,0
19703,1
39509,0
25334,0
11037,0
4879,0
17407,0
